X,Y,Au,Au_2,Ag,Al,As,Ba,Be,Ca,Cd,Ce,Co,Cr,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Sc,Si,Sr,Th,Ti,U,V,Y,Yb,Zn,Zr
678212,4160157,5,0,0.31,70343,5.9,454,1.4,64038,0.22,57,22,86,36,76412,21264,33,19,9587,808,0.66,15615,40,598,30,169,1.13,10,0,334,18.8,6892,7.6,253,17,2.1,122,72
678165,4159030,5,0,0.27,72359,6.2,475,1.5,79401,0.22,53,11,48,36,33888,21303,29,18,8852,585,0.69,17349,31,535,18,178,1.03,8.6,0,376,13.2,3731,6.6,97,15,1.5,64,64
678248,4158975,5,0,0.37,60998,6.9,400,1.4,69696,0.23,53,23,116,34,86665,20163,30,17,8897,922,0.67,13103,43,596,32,261,1.22,8.8,0,300,35.4,6953,16.8,282,16,2.2,142,63
679503,4162630,5,0,0.31,70911,10.1,432,2.1,43574,0.24,65,15,92,37,34561,25499,35,26,11493,870,0.64,11638,60,555,27,344,1.06,10.9,0,222,11.9,3857,3.75,84,21,2.1,86,83
680151,4162600,5,0,0.36,73423,10.3,362,4,23131,0.24,100,11,78,44,30939,31542,60,20,10670,1006,0.77,15745,41,514,35,413,0.89,8.7,0,174,22,3628,3.75,73,25,2.4,108,69
680062,4161722,5,0,0.26,70147,7.8,460,1.9,67760,0.21,56,12,73,33,31135,25224,30,21,10202,547,0.63,14568,44,509,16,303,1.11,9.4,0,305,11.1,3486,3.75,80,17,1.7,66,69
679183,4160529,5,0,0.36,69464,11.1,448,1.8,66242,0.25,56,14,82,44,36789,26901,30,25,11377,880,0.72,11684,49,1022,21,511,1.11,10.7,0,266,12.3,4012,6.5,95,19,1.8,84,78
679297,4160513,5,0,0.26,75359,10.1,473,1.9,71334,0.25,60,16,85,36,41399,25372,32,24,10117,909,0.74,14872,49,542,24,177,1.03,10.5,0,300,13.3,4620,3.75,121,19,1.9,84,77
679092,4160550,5,0,0.36,84676,13,683,1.4,44230,0.24,71,10,41,35,45259,23141,36,18,7879,395,3.7,6639,31,754,28,1988,1.21,17,0,458,17,4116,3.75,153,17,1.8,79,119
678707,4159182,5,0,0.24,74376,7,473,1.8,61753,0.24,60,14,50,28,48668,26743,35,16,8349,735,0.75,20477,28,596,27,202,1.05,9.1,0,403,25.9,5316,11.5,144,19,2.1,81,67
678733,4159088,5,0,0.29,75044,7,477,1.9,51607,0.24,73,16,70,32,48165,26760,41,22,10063,827,0.72,15535,48,553,27,193,0.96,10.1,0,262,16.1,4984,3.75,140,18,1.9,96,74
